REPORTE CONTRASTE DE AVALUOS:

Total registros en Excel: 789
Total registros en XML: 789
Registros en ambas fuentes: 789
Registros solo en Excel: 0 ()
Registros solo en XML: 0 ()
Diferencias en avalúo (en registros comunes con diferencia): 38
Número Predial: 254360100000000110004200000000 - Diferencia: 0.004565980094014321
Número Predial: 254360100000000200023000000000 - Diferencia: 0.004867363642006239
Número Predial: 254360100000000060046000000000 - Diferencia: 0.0033069351313983475
Número Predial: 254360100000000060025000000000 - Diferencia: 0.00036622818399223434
Número Predial: 254360100000000020003000000000 - Diferencia: 0.001465763109990803
Número Predial: 254360100000000100012000000000 - Diferencia: 0.00016687414500893283
Número Predial: 254360100000000130013000000000 - Diferencia: 0.003624957859003075
Número Predial: 254360100000000150016200000000 - Diferencia: 0.0005516611950042716
Número Predial: 254360100000000060042200000000 - Diferencia: 0.0003528925110174441
Número Predial: 254360100000000090017000000000 - Diferencia: 0.0007733099370170748
Número Predial: 254360100000000010057000000000 - Diferencia: 0.00048097520399892346
Número Predial: 254360100000000150049000000000 - Diferencia: 0.0022981985370051916
Número Predial: 254360100000000110015000000000 - Diferencia: 0.0019526351025973554
Número Predial: 254360100000000060105000000000 - Diferencia: 0.004372369468967463
Número Predial: 254360100000000230076000000000 - Diferencia: 0.003604740322003863
Número Predial: 254360100000000240002000000000 - Diferencia: 0.002983312005000016
Número Predial: 254360100000000160014000000000 - Diferencia: 0.0018600751742070543
Número Predial: 254360100000000160009000000000 - Diferencia: 0.00297273452497393
Número Predial: 254360100000000090018000000000 - Diferencia: 0.0024027566520032906
Número Predial: 254360100000000260001000000000 - Diferencia: 2.071999460895313e-09
Número Predial: 254360100000000020058000000000 - Diferencia: 0.001289845105404197
Número Predial: 254360100000000150047000000000 - Diferencia: 0.004960391904091921
Número Predial: 254360100000000190002000000000 - Diferencia: 0.0009257054300064738
Número Predial: 254360100000000200012000000000 - Diferencia: 0.0003457846019614408
Número Predial: 254360100000000060089000000000 - Diferencia: 0.001695351653978605
Número Predial: 254360100000000020008000000000 - Diferencia: 0.0009023350719985501
Número Predial: 254360100000000150051200000000 - Diferencia: 0.0031132124979649234
Número Predial: 254360100000000070020000000000 - Diferencia: 0.0024085577989012563
Número Predial: 254360100000000100015000000000 - Diferencia: 0.0013023647222922818
Número Predial: 254360100000000190009000000000 - Diferencia: 0.0005365878479892672
Número Predial: 254360100000000140009000000000 - Diferencia: 0.0015959154290072775
Número Predial: 254360100000000020049000000000 - Diferencia: 0.00027315972300812064
Número Predial: 254360100000000140015200000001 - Diferencia: 0.0021114655149858663
Número Predial: 254360100000000150014200000000 - Diferencia: 0.0018190915550064801
Número Predial: 254360100000000150022200000000 - Diferencia: 0.002715144495994082
